All tests completed. Results saved to res.txt.
turnlimit
cpu: 12th Gen Intel(R) Core(TM) i5-12500H
BenchmarkReturn1-16     	1000000000	         1.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn2-16     	1000000000	         1.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn3-16     	1000000000	         1.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn4-16     	1000000000	         1.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn5-16     	1000000000	         1.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn6-16     	1000000000	         1.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn7-16     	1000000000	         1.087 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn8-16     	1000000000	         1.055 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn9-16     	1000000000	         1.161 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn10-16    	949783858	         1.258 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn11-16    	914912098	         1.278 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn12-16    	883211877	         1.391 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn13-16    	730576442	         1.520 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn14-16    	698639824	         1.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn15-16    	421692595	         2.624 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn16-16    	467553710	         2.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn17-16    	429177469	         2.824 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn18-16    	420064412	         2.849 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn19-16    	382901246	         3.132 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn20-16    	395647357	         3.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn21-16    	364484006	         3.305 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn22-16    	377436486	         3.208 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn23-16    	328158498	         3.565 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn24-16    	335568464	         3.552 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn25-16    	308138668	         3.813 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn26-16    	329701532	         3.716 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn27-16    	305380255	         3.949 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn28-16    	285535630	         4.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn29-16    	279209398	         4.300 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn30-16    	279445729	         4.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn31-16    	269112045	         4.431 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn32-16    	280272016	         4.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn33-16    	255711163	         4.704 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn34-16    	251269116	         4.707 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn35-16    	237492862	         4.958 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn36-16    	246384276	         4.983 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn37-16    	229817448	         5.186 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn38-16    	227175151	         5.331 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn39-16    	201397970	         5.660 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn40-16    	198796407	         5.845 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn41-16    	198871982	         5.900 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn42-16    	181063383	         6.570 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn43-16    	207768216	         5.976 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn44-16    	204670174	         5.790 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn45-16    	198709333	         6.352 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn46-16    	171566468	         6.977 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn47-16    	167080860	         7.106 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn48-16    	187717843	         6.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn49-16    	186983028	         6.338 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn50-16    	185804704	         6.479 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn51-16    	177604104	         7.151 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn52-16    	168939402	         7.323 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn53-16    	148208853	         8.068 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn54-16    	168996171	         7.189 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn55-16    	168554263	         7.098 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn56-16    	168892184	         7.149 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn57-16    	161409108	         7.398 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn58-16    	163225237	         7.570 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn59-16    	159084614	         7.576 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn60-16    	133589887	         9.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn61-16    	152221821	         7.783 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn62-16    	148775659	         8.054 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn63-16    	144819778	         8.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturn64-16    	145234746	         8.288 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	addcompare/maxreturnlimit	75.135s
